Twb_C,Tdb_C,W,W_gpkg
30,80,0.005868849,5.868848713423276
35,35,0.036537206,36.53720590697624
35,36,0.03608504,36.08503952168992
35,37,0.035633585,35.633585218186866
35,38,0.035182841,35.18284131567566
35,39,0.034732806,34.73280613865818
35,40,0.034283478016913185,34.283478016913186
35,41,0.033834855,33.834855285444355
35,42,0.033386936284499506,33.386936284499505
35,43,0.032939719359512426,32.939719359512424
35,44,0.032493203,32.49320286110896
35,45,0.032047385,32.04738514507026
35,46,0.031602265,31.60226457228407
35,47,0.031157839508955107,31.157839508955107
35,48,0.030714108326070664,30.714108326070665
35,49,0.030271069,30.27106939992276
35,50,0.029828721111809002,29.828721111809003
35,51,0.029387061848069072,29.387061848069074
35,52,0.028946090000065827,28.946090000065826
35,53,0.028505803964163894,28.505803964163896
35,54,0.028066202141705743,28.066202141705745
35,55,0.027627282938980605,27.627282938980606
35,56,0.027189045,27.18904477
35,57,0.026751486042999397,26.751486042999396
35,58,0.026314605186897246,26.314605186897246
35,59,0.025878401,25.87840062509386
35,60,0.025442870788442613,25.44287078844261
35,61,0.025008014112646405,25.008014112646404
35,62,0.024573829,24.57382903824094
35,63,0.024140314010573902,24.140314010573903
35,64,0.023707467479788642,23.707467479788644
35,65,0.023275287900803028,23.27528790080303
35,66,0.022843773733291398,22.843773733291396
35,67,0.022412923441663086,22.412923441663086
35,68,0.021982735495039454,21.982735495039453
35,69,0.021553208367417205,21.553208367417206
35,70,0.021124340537116735,21.124340537116733
35,71,0.02069613,20.69613048741028
35,72,0.020268576706140858,20.26857670614086
35,73,0.019841678,19.84167768578202
35,74,0.019415432,19.41543192342236
35,75,0.018989837920745156,18.989837920745156
35,76,0.018564894184013532,18.564894184013532
35,77,0.018140599224050837,18.14059922405084
35,78,0.017716951556224467,17.71695155622447
35,79,0.01729395,17.29394970042798
35,80,0.016871592181063776,16.871592181063775
40,40,0.048824088,48.824088213892665
40,41,0.048359911,48.35991139232938
40,42,0.047896469248580334,47.89646924858033
40,43,0.04743376,47.43376003978939
40,44,0.046971782028618604,46.971782028618605
40,45,0.046510533,46.51053348
40,46,0.046050012677228754,46.05001267722875
40,47,0.045590218,45.590217889687224
40,48,0.045131147,45.13114740507912
40,49,0.0446728,44.672799513290705
40,50,0.044215173,44.215172509578544
40,51,0.043758265,43.75826469
40,52,0.043302074,43.30207437424062
40,53,0.0428466,42.84659985983362
40,54,0.042391839,42.39183946793101
40,55,0.041937792,41.93779152037734
40,56,0.041484454,41.48445434427006
40,57,0.041031826271940366,41.03182627194037
40,58,0.040579906,40.57990564093089
40,59,0.040128691,40.12869079396949
40,60,0.03967818,39.678180078939214
40,61,0.039228372,39.22837184907241
40,62,0.038779264462355155,38.77926446235516
40,63,0.038330856282170214,38.33085628217022
40,64,0.037883146,37.88314567691567
40,65,0.037436131,37.43613102006352
40,66,0.036989811,36.98981069013713
40,67,0.036544183070693716,36.54418307069371
40,68,0.036099247,36.09924655
40,69,0.035655,35.65499952253251
40,70,0.035211440385918766,35.21144038591876
40,71,0.034768568,34.76856754395589
40,72,0.034326379,34.326379405070234
40,73,0.033884874,33.884874382597644
40,74,0.033444051,33.44405089475585
40,75,0.033003907,33.00390736498158
40,76,0.032564442,32.56444222084933
40,77,0.032125654,32.125653895349636
40,78,0.031687541,31.68754082613704
40,79,0.031250101,31.250101455670393
40,80,0.030813334,30.81333423119608
45,77,0.049986535,49.986535156993455
45,78,0.049530692889034895,49.530692889034896
45,79,0.049075558,49.07555776119252
45,80,0.048621128,48.62112812951157
